City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,trincomalee,8.5711,81.2335,298.87,71,100,4.51,LK,1676605070
110,hilo,19.7297,-155.09,296.27,97,100,3.09,US,1676605071
111,sobolevo,54.4299,31.8996,264.04,94,100,4.31,RU,1676605071
112,bismarck,46.8083,-100.7837,262.49,86,0,4.63,US,1676604900
113,mpanda,-6.3655,31.0409,290.28,96,99,0.17,TZ,1676605072
114,lokosovo,61.1333,74.8167,258.31,90,50,5.21,RU,1676605072
115,santa marinella,42.0345,11.8536,282.99,82,91,1.65,IT,1676605072
116,mawlaik,23.6333,94.4167,301.78,27,0,0.99,MM,1676605073
117,urengoy,65.9667,78.3667,268.12,94,100,7.37,RU,1676605073
118,pala,9.3642,14.9046,291.9,22,63,3.89,TD,1676605074
119,castro,-24.7911,-50.0119,290.62,97,100,3.14,BR,1676605074
120,portland,45.5234,-122.6762,280.14,78,75,1.54,US,1676604320
121,santa rosalia,27.3167,-112.2833,283.46,45,87,3.98,MX,1676605075
122,kodiak,57.79,-152.4072,272.88,93,100,1.54,US,1676605075
123,chuy,-33.6971,-53.4616,292.37,87,98,5.86,UY,1676605076
124,petropavlovsk-kamchatskiy,53.0452,158.6483,267.48,42,40,2.0,RU,1676605076
125,salalah,17.0151,54.0924,293.2,73,20,2.57,OM,1676605077
126,ribeira grande,38.5167,-28.7,289.14,78,97,6.26,PT,1676605077
127,cap malheureux,-19.9842,57.6142,299.52,70,1,0.89,MU,1676605078
128,buluang,13.3068,123.3425,301.56,57,91,4.82,PH,1676605078
129,jalu,29.0331,21.5482,282.94,60,97,3.91,LY,1676605078
130,mayo,38.8876,-76.5119,287.87,94,100,1.54,US,1676605079
131,kokopo,-4.352,152.2633,303.07,62,99,4.54,PG,1676605079
132,karpathos,35.507,27.2132,283.13,76,0,4.12,GR,1676605080
133,faanui,-16.4833,-151.75,301.05,72,19,5.06,PF,1676605080
134,marovoay,-16.1,46.6333,297.37,91,92,0.86,MG,1676605080
135,lethem,3.3803,-59.7968,298.13,76,46,6.32,GY,1676605081
136,thompson,55.7435,-97.8558,254.24,78,100,2.06,CA,1676605081
137,chicama,-7.8447,-79.1469,296.45,69,98,1.88,PE,1676605082
138,joacaba,-27.1781,-51.5047,292.41,95,79,1.03,BR,1676605082
139,coquimbo,-29.9533,-71.3436,290.0,94,0,1.54,CL,1676605083
140,marsabit,2.3284,37.9899,288.99,71,13,4.76,KE,1676605083
141,asau,46.4333,26.4,269.66,86,100,3.13,RO,1676605084
142,lebu,-37.6167,-73.65,286.26,76,7,9.3,CL,1676605084
143,avera,33.194,-82.5271,292.8,73,97,5.21,US,1676605085
144,saint george,37.1041,-113.5841,275.34,45,0,3.09,US,1676605078
145,jarvenpaa,60.4737,25.0899,274.69,97,100,4.63,FI,1676605085
146,clyde river,70.4692,-68.5914,239.28,68,0,2.57,CA,1676605086
147,maragogi,-9.0122,-35.2225,298.52,85,53,3.71,BR,1676605086
148,saint-joseph,-21.3667,55.6167,297.36,68,20,1.98,RE,1676605087
149,broome,42.2506,-75.833,285.38,86,100,4.63,US,1676605087
150,carbonia,39.1672,8.5222,277.6,89,37,1.57,IT,1676605087
151,emerald,-23.5333,148.1667,303.34,48,100,5.53,AU,1676605088
152,bagotville,-28.9833,153.4167,302.51,62,14,4.13,AU,1676605088
153,lagoa,39.05,-27.9833,287.71,76,100,8.67,PT,1676605089
154,sao filipe,14.8961,-24.4956,293.84,77,35,3.24,CV,1676605089
155,iqaluit,63.7506,-68.5145,240.2,74,75,0.0,CA,1676605090
156,san policarpo,12.1791,125.5072,298.65,86,100,9.16,PH,1676605090
157,bichena,10.45,38.2,284.16,68,2,0.75,ET,1676605091
158,mwene-ditu,-7.0,23.45,289.84,93,82,0.74,CD,1676605091
159,poroshkovo,48.6683,22.7533,273.71,94,99,1.03,UA,1676605092
160,richards bay,-28.783,32.0377,296.67,86,100,4.87,ZA,1676605092
161,saurimo,-9.6608,20.3916,291.61,95,99,1.4,AO,1676605092
162,talnakh,69.4865,88.3972,254.17,97,97,2.02,RU,1676605093
163,atikokan,48.7555,-91.6216,251.74,98,11,0.48,CA,1676605094
164,general roca,-39.0333,-67.5833,284.05,27,4,6.11,AR,1676605094
165,tongliao,43.6125,122.2653,272.23,36,1,2.59,CN,1676605096
166,nome,64.5011,-165.4064,255.19,60,0,3.09,US,1676604805
167,puerto madero,14.7208,-92.4215,296.26,100,0,1.03,MX,1676605096
168,vetluga,57.8557,45.781,259.35,100,99,1.26,RU,1676605097
169,xai-xai,-25.0519,33.6442,296.01,94,76,1.93,MZ,1676605098
170,antofagasta,-23.65,-70.4,293.75,78,38,0.95,CL,1676604964
171,tura,25.5198,90.2201,298.77,25,0,1.43,IN,1676605098
172,lucapa,-8.4192,20.7447,291.18,97,100,1.45,AO,1676605099
173,moisei,47.6556,24.5401,271.2,98,100,0.24,RO,1676605099
174,puerto escondido,15.85,-97.0667,297.87,80,3,1.83,MX,1676605100
175,cidreira,-30.1811,-50.2056,297.12,87,100,7.41,BR,1676605100
176,kuala terengganu,5.3302,103.1408,302.12,74,40,3.6,MY,1676605081
177,manfredonia,41.6259,15.9094,278.41,93,71,2.06,IT,1676605101
178,tuktoyaktuk,69.4541,-133.0374,237.15,75,0,1.54,CA,1676605101
179,san quintin,30.4833,-115.95,285.33,52,38,1.37,MX,1676605102
180,gwadar,25.1216,62.3254,296.3,45,5,2.31,PK,1676605102
181,ahuimanu,21.4447,-157.8378,298.99,80,75,5.14,US,1676605103
182,pevek,69.7008,170.3133,233.56,99,100,2.83,RU,1676605103
183,vikhorevka,56.1201,101.1636,257.92,89,100,5.1,RU,1676605103
